city,last_buy_time,title,house_id,area,publish_time,watch_num,average_price,location,focus_num,community,price,model,link
35,2017-08-02,"104.075647,30.487372",2012-08-10,天府新区,173.84,https://cd.lianjia.com/ershoufang/106100536650.html,13519,29,恒大天府半岛一期 清水标准套四双卫对滨河公园 看江景,恒大天府半岛一期  , 4室2厅 ,106100536650,2350000.0
34,2017-08-04,"104.087598,30.500158",2014-12-01,天府新区,62.34,https://cd.lianjia.com/ershoufang/106100543789.html,19250,38,万科海悦汇城西区 套二  大小卧户型,万科海悦汇城西区  , 2室2厅 ,106100543789,1200000.0
67,2017-07-23,"104.055649,30.70783",2011-02-25,金牛,104.05,https://cd.lianjia.com/ershoufang/106100512792.html,14224,30,交大智能一期南苑+东南朝向+有花园+不临街,交大智能一期南苑  , 3室2厅 ,106100512792,1480000.0
39,2017-08-23,"104.078007,30.685117",2011-03-10,金牛,38.88,https://cd.lianjia.com/ershoufang/106100593346.html,12861,22,天合凯旋港+客厅带阳台+看房有钥匙,天合凯旋港  , 1室0厅 ,106100593346,500000.0
26,2017-08-06,"104.034511,30.7017",2011-11-11,金牛,104.66,https://cd.lianjia.com/ershoufang/106100549492.html,15766,57,二居室有装修 客厅有阳台 主卧有卫生间,西城公馆  , 2室2厅 ,106100549492,1650000.0
47,2017-08-04,"104.03472053,30.71192955",2015-05-25,金牛,195.3,https://cd.lianjia.com/ershoufang/106100542600.html,13416,21,电梯套三四卫+有装修+跃三层+带屋顶花园,金府路6号  , 3室2厅 ,106100542600,2620000.0
66,2017-08-01,"104.036186,30.649027",2001-09-14,武侯,80.97,https://cd.lianjia.com/ershoufang/106100535632.html,9263,30,双楠三区 3室1厅 75万,双楠三区  , 3室1厅 ,106100535632,750000.0
22,2017-08-11,"104.070411,30.61991",2010-08-05,武侯,108.16,https://cd.lianjia.com/ershoufang/106100561007.html,12944,21,芳草地套三  朝南  三室二厅,芳草地  , 3室2厅 ,106100561007,1400000.0
55,2017-07-03,"104.008386,30.667603",2014-04-17,青羊,92.92,https://cd.lianjia.com/ershoufang/106100464366.html,27982,166,优品道四期曦岸清水套三双卫出售,优品道四期曦岸  , 3室2厅 ,106100464366,2600000.0
57,2017-08-05,"104.017511,30.657217",2015-07-29,武侯,103.7,https://cd.lianjia.com/ershoufang/106100544033.html,16394,36,丽景华庭二期 中庭不临街 套三单卫 装修好,丽景华庭二期  , 3室2厅 ,106100544033,1700000.0
30,2017-06-25,"103.991166,30.684913",2009-07-09,青羊,120.52,https://cd.lianjia.com/ershoufang/106100444292.html,20329,94,翠微清波 套三双卫 带15平左右生活阳台 卧室都带飘窗,翠微清波A区  , 3室2厅 ,106100444292,2450000.0
9,2017-08-23,"104.066337,30.655931",2009-12-30,青羊,82.84,https://cd.lianjia.com/ershoufang/106100594440.html,18711,29,釜山国际城市公馆，两室一厅一厨一卫,釜山国际城市公馆  , 2室2厅 ,106100594440,1550000.0
16,2017-08-21,"103.99754356,30.676995",2005-03-29,青羊,129.49,https://cd.lianjia.com/ershoufang/106100587554.html,13901,28,三环内   上城生活馆    套三双卫   有阳台,上城生活馆  , 3室2厅 ,106100587554,1800000.0
31,2017-08-16,"104.125451,30.651044",2012-04-10,成华,73.63,https://cd.lianjia.com/ershoufang/106100573887.html,26484,0,华润二十四城 小套三 户型方正,华润二十四城二期  , 3室1厅 ,106100573887,1950000.0
62,2017-07-07,"104.082509,30.600369",2009-07-01,高新,143.57,https://cd.lianjia.com/ershoufang/106100474494.html,18110,74,天府长城柏南郡 朝南 有装修 有入户花园 ,天府长城柏南郡  , 4室2厅 ,106100474494,2600000.0
216,2017-08-13,"104.043677,30.614955",2012-11-30,高新,82.86,https://cd.lianjia.com/ershoufang/106100565702.html,14483,91,神仙树馨苑 套二双卫跃层户型 清水房 不临街,神仙树馨苑  , 2室2厅 ,106100565702,1200000.0
